,Year,Month,Day,Close
0,1980,03,17,0.325521
1,1980,03,18,0.322917
2,1980,03,19,0.330729
3,1980,03,20,0.329427
4,1980,03,21,0.317708
5,1980,03,24,0.311198
6,1980,03,25,0.3125
7,1980,03,26,0.309896
8,1980,03,27,0.299479
9,1980,03,28,0.311198
10,1980,03,31,0.321615
11,1980,04,01,0.322917
12,1980,04,02,0.325521
13,1980,04,03,0.31901
14,1980,04,07,0.311198
15,1980,04,08,0.3125
16,1980,04,09,0.30599
17,1980,04,10,0.304688
18,1980,04,11,0.304688
19,1980,04,14,0.307292
20,1980,04,15,0.303385
21,1980,04,16,0.291667
22,1980,04,17,0.286458
23,1980,04,18,0.290365
24,1980,04,21,0.28776
25,1980,04,22,0.300781
26,1980,04,23,0.31901
27,1980,04,24,0.320313
28,1980,04,25,0.315104
29,1980,04,28,0.3125
30,1980,04,29,0.315104
31,1980,04,30,0.31901
32,1980,05,01,0.320313
33,1980,05,02,0.325521
34,1980,05,05,0.329427
35,1980,05,06,0.328125
36,1980,05,07,0.328125
37,1980,05,08,0.324219
38,1980,05,09,0.328125
39,1980,05,12,0.326823
40,1980,05,13,0.333333
41,1980,05,14,0.338542
42,1980,05,15,0.341146
43,1980,05,16,0.345052
44,1980,05,19,0.346354
45,1980,05,20,0.342448
46,1980,05,21,0.334635
47,1980,05,22,0.330729
48,1980,05,23,0.342448
49,1980,05,27,0.341146
50,1980,05,28,0.348958
51,1980,05,29,0.348958
52,1980,05,30,0.354167
53,1980,06,02,0.355469
54,1980,06,03,0.346354
55,1980,06,04,0.351563
56,1980,06,05,0.351563
57,1980,06,06,0.348958
58,1980,06,09,0.346354
59,1980,06,10,0.35026
60,1980,06,11,0.354167
61,1980,06,12,0.348958
62,1980,06,13,0.348958
63,1980,06,16,0.348958
64,1980,06,17,0.347656
65,1980,06,18,0.345052
66,1980,06,19,0.338542
67,1980,06,20,0.339844
68,1980,06,23,0.339844
69,1980,06,24,0.339844
70,1980,06,25,0.34375
71,1980,06,26,0.34375
72,1980,06,27,0.345052
73,1980,06,30,0.342448
74,1980,07,01,0.347656
75,1980,07,02,0.35026
76,1980,07,03,0.352865
77,1980,07,07,0.365885
78,1980,07,08,0.373698
79,1980,07,09,0.373698
80,1980,07,10,0.378906
81,1980,07,11,0.377604
82,1980,07,14,0.38151
83,1980,07,15,0.393229
84,1980,07,16,0.39974
85,1980,07,17,0.408854
86,1980,07,18,0.419271
87,1980,07,21,0.419271
88,1980,07,22,0.414063
89,1980,07,23,0.410156
90,1980,07,24,0.407552
91,1980,07,25,0.403646
92,1980,07,28,0.407552
93,1980,07,29,0.425781
94,1980,07,30,0.438802
95,1980,07,31,0.441406
96,1980,08,01,0.434896
97,1980,08,04,0.441406
98,1980,08,05,0.44401
99,1980,08,06,0.440104
100,1980,08,07,0.445313
101,1980,08,08,0.451823
102,1980,08,11,0.480469
103,1980,08,12,0.481771
104,1980,08,13,0.472656
105,1980,08,14,0.472656
106,1980,08,15,0.466146
107,1980,08,18,0.453125
108,1980,08,19,0.446615
109,1980,08,20,0.455729
110,1980,08,21,0.460938
111,1980,08,22,0.463542
112,1980,08,25,0.463542
113,1980,08,26,0.463542
114,1980,08,27,0.46224
115,1980,08,28,0.458333
116,1980,08,29,0.455729
117,1980,09,02,0.46224
118,1980,09,03,0.476563
119,1980,09,04,0.480469
120,1980,09,05,0.477865
121,1980,09,08,0.464844
122,1980,09,09,0.466146
123,1980,09,10,0.460938
124,1980,09,11,0.463542
125,1980,09,12,0.46224
126,1980,09,15,0.457031
127,1980,09,16,0.470052
128,1980,09,17,0.490885
129,1980,09,18,0.492188
130,1980,09,19,0.496094
131,1980,09,22,0.488281
132,1980,09,23,0.470052
133,1980,09,24,0.464844
134,1980,09,25,0.459635
135,1980,09,26,0.453125
136,1980,09,29,0.454427
137,1980,09,30,0.463542
138,1980,10,01,0.46875
139,1980,10,02,0.467448
140,1980,10,03,0.483073
141,1980,10,06,0.513021
142,1980,10,07,0.514323
143,1980,10,08,0.5039060000000001
144,1980,10,09,0.502604
145,1980,10,10,0.497396
146,1980,10,13,0.5
147,1980,10,14,0.502604
148,1980,10,15,0.513021
149,1980,10,16,0.510417
150,1980,10,17,0.505208
151,1980,10,20,0.5
152,1980,10,21,0.494792
153,1980,10,22,0.5
154,1980,10,23,0.489583
155,1980,10,24,0.479167
156,1980,10,27,0.453125
157,1980,10,28,0.466146
158,1980,10,29,0.476563
159,1980,10,30,0.427083
160,1980,10,31,0.4375
161,1980,11,03,0.4375
162,1980,11,05,0.46875
163,1980,11,06,0.440104
164,1980,11,07,0.447917
165,1980,11,10,0.445313
166,1980,11,11,0.453125
167,1980,11,12,0.46875
168,1980,11,13,0.479167
169,1980,11,14,0.5
170,1980,11,17,0.502604
171,1980,11,18,0.515625
172,1980,11,19,0.507813
173,1980,11,20,0.502604
174,1980,11,21,0.494792
175,1980,11,24,0.486979
176,1980,11,25,0.486979
177,1980,11,26,0.489583
178,1980,11,28,0.484375
179,1980,12,01,0.447917
180,1980,12,02,0.447917
181,1980,12,03,0.453125
182,1980,12,04,0.46224
183,1980,12,05,0.432292
184,1980,12,08,0.416667
185,1980,12,09,0.434896
186,1980,12,10,0.429688
187,1980,12,11,0.416667
188,1980,12,12,0.429688
189,1980,12,15,0.429688
190,1980,12,16,0.432292
191,1980,12,17,0.424479
192,1980,12,18,0.421875
193,1980,12,19,0.401042
194,1980,12,22,0.401042
195,1980,12,23,0.408854
196,1980,12,24,0.416667
197,1980,12,26,0.427083
198,1980,12,29,0.414063
199,1980,12,30,0.419271
200,1980,12,31,0.419271
201,1981,01,02,0.419271
202,1981,01,05,0.434896
203,1981,01,06,0.424479
204,1981,01,07,0.411458
205,1981,01,08,0.403646
206,1981,01,09,0.403646
207,1981,01,12,0.395833
208,1981,01,13,0.393229
209,1981,01,14,0.395833
210,1981,01,15,0.398438
211,1981,01,16,0.416667
212,1981,01,19,0.416667
213,1981,01,20,0.403646
214,1981,01,21,0.401042
215,1981,01,22,0.401042
216,1981,01,23,0.408854
217,1981,01,26,0.398438
218,1981,01,27,0.395833
219,1981,01,28,0.395833
220,1981,01,29,0.395833
221,1981,01,30,0.388021
222,1981,02,02,0.375
223,1981,02,03,0.390625
224,1981,02,04,0.401042
225,1981,02,05,0.411458
226,1981,02,06,0.416667
227,1981,02,09,0.416667
228,1981,02,10,0.421875
229,1981,02,11,0.414063
230,1981,02,12,0.401042
231,1981,02,13,0.401042
232,1981,02,17,0.411458
233,1981,02,18,0.414063
234,1981,02,19,0.414063
235,1981,02,20,0.395833
236,1981,02,23,0.390625
237,1981,02,24,0.388021
238,1981,02,25,0.348958
239,1981,02,26,0.34375
240,1981,02,27,0.364583
241,1981,03,02,0.375
242,1981,03,03,0.367188
243,1981,03,04,0.361979
244,1981,03,05,0.351563
245,1981,03,06,0.351563
246,1981,03,09,0.351563
247,1981,03,10,0.356771
248,1981,03,11,0.341146
249,1981,03,12,0.359375
250,1981,03,13,0.364583
251,1981,03,16,0.367188
252,1981,03,17,0.351563
253,1981,03,18,0.356771
254,1981,03,19,0.354167
255,1981,03,20,0.364583
256,1981,03,23,0.367188
257,1981,03,24,0.369792
258,1981,03,25,0.385417
259,1981,03,26,0.380208
260,1981,03,27,0.380208
261,1981,03,30,0.380208
262,1981,03,31,0.377604
263,1981,04,01,0.380208
264,1981,04,02,0.382813
265,1981,04,03,0.377604
266,1981,04,06,0.375
267,1981,04,07,0.367188
268,1981,04,08,0.369792
269,1981,04,09,0.367188
270,1981,04,10,0.375
271,1981,04,13,0.398438
272,1981,04,14,0.401042
273,1981,04,15,0.403646
274,1981,04,16,0.408854
275,1981,04,20,0.408854
276,1981,04,21,0.416667
277,1981,04,22,0.421875
278,1981,04,23,0.414063
279,1981,04,24,0.416667
280,1981,04,27,0.408854
281,1981,04,28,0.403646
282,1981,04,29,0.398438
283,1981,04,30,0.393229
284,1981,05,01,0.390625
285,1981,05,04,0.382813
286,1981,05,05,0.380208
287,1981,05,06,0.380208
288,1981,05,07,0.380208
289,1981,05,08,0.380208
290,1981,05,11,0.369792
291,1981,05,12,0.369792
292,1981,05,13,0.367188
293,1981,05,14,0.375
294,1981,05,15,0.377604
295,1981,05,18,0.377604
296,1981,05,19,0.372396
297,1981,05,20,0.388021
298,1981,05,21,0.390625
299,1981,05,22,0.393229
300,1981,05,26,0.40625
301,1981,05,27,0.427083
302,1981,05,28,0.432292
303,1981,05,29,0.427083
304,1981,06,01,0.419271
305,1981,06,02,0.403646
306,1981,06,03,0.395833
307,1981,06,04,0.388021
308,1981,06,05,0.385417
309,1981,06,08,0.380208
310,1981,06,09,0.377604
311,1981,06,10,0.375
312,1981,06,11,0.385417
313,1981,06,12,0.390625
314,1981,06,15,0.380208
315,1981,06,16,0.369792
316,1981,06,17,0.369792
317,1981,06,18,0.361979
318,1981,06,19,0.364583
319,1981,06,22,0.361979
320,1981,06,23,0.367188
321,1981,06,24,0.367188
322,1981,06,25,0.361979
323,1981,06,26,0.390625
324,1981,06,29,0.393229
325,1981,06,30,0.375
326,1981,07,01,0.367188
327,1981,07,02,0.351563
328,1981,07,06,0.348958
329,1981,07,07,0.338542
330,1981,07,08,0.341146
331,1981,07,09,0.348958
332,1981,07,10,0.356771
333,1981,07,13,0.356771
334,1981,07,14,0.351563
335,1981,07,15,0.359375
336,1981,07,16,0.372396
337,1981,07,17,0.375
338,1981,07,20,0.359375
339,1981,07,21,0.348958
340,1981,07,22,0.34375
341,1981,07,23,0.348958
342,1981,07,24,0.348958
343,1981,07,27,0.359375
344,1981,07,28,0.351563
345,1981,07,29,0.351563
346,1981,07,30,0.346354
347,1981,07,31,0.351563
348,1981,08,03,0.346354
349,1981,08,04,0.338542
350,1981,08,05,0.338542
351,1981,08,06,0.338542
352,1981,08,07,0.328125
353,1981,08,10,0.328125
354,1981,08,11,0.333333
355,1981,08,12,0.322917
356,1981,08,13,0.328125
357,1981,08,14,0.320313
358,1981,08,17,0.317708
359,1981,08,18,0.315104
360,1981,08,19,0.320313
361,1981,08,20,0.328125
362,1981,08,21,0.315104
363,1981,08,24,0.309896
364,1981,08,25,0.304688
365,1981,08,26,0.296875
366,1981,08,27,0.291667
367,1981,08,28,0.291667
368,1981,08,31,0.291667
369,1981,09,01,0.296875
370,1981,09,02,0.291667
371,1981,09,03,0.276042
372,1981,09,04,0.283854
373,1981,09,08,0.270833
374,1981,09,09,0.28125
375,1981,09,10,0.294271
376,1981,09,11,0.3125
377,1981,09,14,0.302083
378,1981,09,15,0.283854
379,1981,09,16,0.276042
380,1981,09,17,0.263021
381,1981,09,18,0.265625
382,1981,09,21,0.270833
383,1981,09,22,0.260417
384,1981,09,23,0.252604
385,1981,09,24,0.247396
386,1981,09,25,0.236979
387,1981,09,28,0.247396
388,1981,09,29,0.252604
389,1981,09,30,0.252604
390,1981,10,01,0.252604
391,1981,10,02,0.260417
392,1981,10,05,0.276042
393,1981,10,06,0.263021
394,1981,10,07,0.265625
395,1981,10,08,0.265625
396,1981,10,09,0.263021
397,1981,10,12,0.263021
398,1981,10,13,0.268229
399,1981,10,14,0.257813
400,1981,10,15,0.257813
401,1981,10,16,0.257813
402,1981,10,19,0.252604
403,1981,10,20,0.252604
404,1981,10,21,0.263021
405,1981,10,22,0.257813
406,1981,10,23,0.257813
407,1981,10,26,0.257813
408,1981,10,27,0.265625
409,1981,10,28,0.278646
410,1981,10,29,0.276042
411,1981,10,30,0.296875
412,1981,11,02,0.299479
413,1981,11,03,0.307292
414,1981,11,04,0.299479
415,1981,11,05,0.302083
416,1981,11,06,0.302083
417,1981,11,09,0.304688
418,1981,11,10,0.302083
419,1981,11,11,0.296875
420,1981,11,12,0.296875
421,1981,11,13,0.278646
422,1981,11,16,0.270833
423,1981,11,17,0.276042
424,1981,11,18,0.263021
425,1981,11,19,0.260417
426,1981,11,20,0.252604
427,1981,11,23,0.255208
428,1981,11,24,0.255208
429,1981,11,25,0.25
430,1981,11,27,0.25
431,1981,11,30,0.260417
432,1981,12,01,0.260417
433,1981,12,02,0.263021
434,1981,12,03,0.260417
435,1981,12,04,0.263021
436,1981,12,07,0.255208
437,1981,12,08,0.255208
438,1981,12,09,0.257813
439,1981,12,10,0.265625
440,1981,12,11,0.263021
441,1981,12,14,0.255208
442,1981,12,15,0.255208
443,1981,12,16,0.255208
444,1981,12,17,0.239583
445,1981,12,18,0.25
446,1981,12,21,0.25
447,1981,12,22,0.255208
448,1981,12,23,0.25
449,1981,12,24,0.247396
450,1981,12,28,0.244792
451,1981,12,29,0.234375
452,1981,12,30,0.239583
453,1981,12,31,0.234375
454,1982,01,04,0.236979
455,1982,01,05,0.234375
456,1982,01,06,0.229167
457,1982,01,07,0.221354
458,1982,01,08,0.221354
459,1982,01,11,0.221354
460,1982,01,12,0.21875
461,1982,01,13,0.216146
462,1982,01,14,0.21875
463,1982,01,15,0.234375
464,1982,01,18,0.247396
465,1982,01,19,0.234375
466,1982,01,20,0.239583
467,1982,01,21,0.263021
468,1982,01,22,0.252604
469,1982,01,25,0.255208
470,1982,01,26,0.270833
471,1982,01,27,0.276042
472,1982,01,28,0.265625
473,1982,01,29,0.270833
474,1982,02,01,0.260417
475,1982,02,02,0.263021
476,1982,02,03,0.263021
477,1982,02,04,0.257813
478,1982,02,05,0.265625
479,1982,02,08,0.257813
480,1982,02,09,0.255208
481,1982,02,10,0.255208
482,1982,02,11,0.252604
483,1982,02,12,0.255208
484,1982,02,16,0.252604
485,1982,02,17,0.257813
486,1982,02,18,0.260417
487,1982,02,19,0.257813
488,1982,02,22,0.252604
489,1982,02,23,0.247396
490,1982,02,24,0.257813
491,1982,02,25,0.265625
492,1982,02,26,0.265625
493,1982,03,01,0.276042
494,1982,03,02,0.276042
495,1982,03,03,0.268229
496,1982,03,04,0.265625
497,1982,03,05,0.252604
498,1982,03,08,0.24218800000000001
499,1982,03,09,0.257813
500,1982,03,10,0.257813
501,1982,03,11,0.252604
502,1982,03,12,0.236979
503,1982,03,15,0.244792
504,1982,03,16,0.252604
505,1982,03,17,0.263021
506,1982,03,18,0.276042
507,1982,03,19,0.283854
508,1982,03,22,0.294271
509,1982,03,23,0.291667
510,1982,03,24,0.286458
511,1982,03,25,0.286458
512,1982,03,26,0.286458
513,1982,03,29,0.291667
514,1982,03,30,0.294271
515,1982,03,31,0.299479
516,1982,04,01,0.302083
517,1982,04,02,0.309896
518,1982,04,05,0.302083
519,1982,04,06,0.299479
520,1982,04,07,0.294271
521,1982,04,08,0.311198
522,1982,04,12,0.322917
523,1982,04,13,0.330729
524,1982,04,14,0.330729
525,1982,04,15,0.335938
526,1982,04,16,0.338542
527,1982,04,19,0.341146
528,1982,04,20,0.322917
529,1982,04,21,0.322917
530,1982,04,22,0.335938
531,1982,04,23,0.333333
532,1982,04,26,0.338542
533,1982,04,27,0.330729
534,1982,04,28,0.333333
535,1982,04,29,0.330729
536,1982,04,30,0.328125
537,1982,05,03,0.328125
538,1982,05,04,0.330729
539,1982,05,05,0.338542
540,1982,05,06,0.346354
541,1982,05,07,0.341146
542,1982,05,10,0.333333
543,1982,05,11,0.328125
544,1982,05,12,0.320313
545,1982,05,13,0.333333
546,1982,05,14,0.356771
547,1982,05,17,0.346354
548,1982,05,18,0.338542
549,1982,05,19,0.330729
550,1982,05,20,0.322917
551,1982,05,21,0.317708
